[telescope] fuzzy open file,n,<c-p>
[telescope] fuzzy open buffer,n,<c-n>
[telescope] fuzzy live grep,n,<leader>gl
[telescope] fuzzy old files,n,<leader>o
[telescope] fuzzy search current file,n,<leader><leader>
[telescope] fuzzy open clipboard,n,<leader>v
[telescope] fuzzy find document symbols,n,<leader>sd
[telescope] fuzzy find workspace symbols,n,<leader>sw
quickfix list toggle,n,<leader>tq
location list toggle,n,<leader>tl
jump to end of line,n,<a-l>
jump to beginning of line,n,<a-h>
jump to next fold,n,<a-j>
jump to prev fold,n,<a-k>
save buffer,n,<leader>w
quit,n,<leader>q
toggle fold under cursor,n,<a-space>
go back to insert mode,i,jj
[mini.bufremove] close current buffer,n,<leader>c
[mini.files] open file explorer,n,<leader>e
grep for word,n,<leader>gn
grep for word including hidden files,n,<leader>gh
grep for word under cursor,n,<leader>gc
resize window,n,<c-arrow>
navigate window,n,<c-hjkl>
search next word without jumping,n,z*
search prev word without jumping,n,z#
paste from system clipboard,nx,<leader>p[P]
yank to system clipboard,n,<leader>y
[builtin] jump to next diagnostic,n,]d
[builtin] jump to prev diagnostic,n,[d
open diagnostics in loc list,n,<leader>dl
[builtin] open diagnostics in floating window,n,<c-w>d
LSP jump to declaration,n,gD
LSP jump to definition,n,gd
LSP jump to implementation,n,gI
LSP jump to type definition,n,gy
LSP rename symbol,n,<F2>
LSP code action,n,<leader>m
LSP references,n,<leader>r
[builtin] LSP hover,n,K
format document,n,<leader>f
[mini.operators] replace text object with register,n,gr
[mini.operators] replace line with register,nx,grr
jump to next hunk,n,]c
jump to prev hunk,n,[c
[gitsigns] git reset hunk,n,<leader>hr
[gitsigns] git reset all hunks in buffer,n,<leader>hR
[gitsigns] git preview hunk,n,<leader>hp
[gitsigns] git show line git blame,n,<leader>hb
[harpoon] add,n,<leader>ja
[harpoon] toggle menu,n,<leader>jm
[harpoon] jump 1,n,<leader>jj
[harpoon] jump 2,n,<leader>jk
[harpoon] jump 3,n,<leader>jl
[harpoon] jump next,n,<leader>jn
[harpoon] jump previous,n,<leader>jp
[harpoon] clear,n,<leader>jc
snippet expand,i,<c-space>
snippet next,i,<c-l>
snippet prev,i,<c-h>
snippet cancel,i,<c-c>
copilot apply,n,<tab>
split/join node under cursor,n,gS
[mini.operators] duplicate text,n,gm
[mini.operators] exchange text,n,gx
[mini.operators] sort text,n,gs
[mini.operators] sort line,n,gss
swap parameter with next one,n,<leader>sn
swap parameter with prev one,n,<leader>sp
maximize split,n,<leader>l
jump to alternate file,n,<leader>a
open undo tree,n,<leader>u
open url,n,gX
[mini.surround] add surround,n,ys
[mini.surround] delete surround,n,ds
[mini.surround] change surround,n,cs
